epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8613,1.23012,2.89125,1.33001,0.98118,1,0.99336,0.59412,1.40601,1.29006,1.579,0.000658228,0.000658228,0.000658228
2,62.37,0.89899,0.61865,1.11198,0.27566,0.26752,0.16763,0.07116,2.07891,2.47749,1.99827,0.00129866,0.00129866,0.00129866
3,87.0598,0.86365,0.60125,1.09672,0.00013,0.03822,7e-05,1e-05,nan,nan,nan,0.0019127,0.0019127,0.0019127
4,110.996,0.81843,0.54771,1.07177,0.90008,0.29936,0.29413,0.19164,1.84864,6.7145,2.00377,0.0018812,0.0018812,0.0018812
5,134.829,0.80612,0.48788,1.05872,0.99921,1,0.995,0.83044,0.78525,0.41163,1.11918,0.0018416,0.0018416,0.0018416
6,159.559,0.74873,0.45294,1.01487,0.99907,1,0.995,0.82357,0.68659,0.4779,1.04992,0.001802,0.001802,0.001802
7,188.599,0.71234,0.4393,1.0009,0.99961,1,0.995,0.85234,0.70741,0.36609,1.03583,0.0017624,0.0017624,0.0017624
8,213.089,0.67575,0.40887,0.98297,0.99944,1,0.995,0.86396,0.61988,0.39744,0.96317,0.0017228,0.0017228,0.0017228
9,237.108,0.62694,0.38636,0.96148,0.99807,1,0.995,0.9244,0.47744,0.45112,0.92387,0.0016832,0.0016832,0.0016832
10,261.193,0.60165,0.37691,0.94643,0.99958,1,0.995,0.90641,0.51005,0.30912,0.91405,0.0016436,0.0016436,0.0016436
11,285.104,0.58143,0.35215,0.93923,0.99962,1,0.995,0.87129,0.56845,0.27557,0.92706,0.001604,0.001604,0.001604
12,309.009,0.5767,0.34152,0.94104,0.99961,1,0.995,0.93728,0.4765,0.29537,0.89397,0.0015644,0.0015644,0.0015644
13,332.877,0.54079,0.32945,0.92453,0.99962,1,0.995,0.9237,0.42155,0.29166,0.87928,0.0015248,0.0015248,0.0015248
14,356.897,0.51531,0.32814,0.91419,0.99963,1,0.995,0.94946,0.32449,0.25473,0.82875,0.0014852,0.0014852,0.0014852
15,380.829,0.49928,0.30923,0.90477,0.99959,1,0.995,0.93513,0.42005,0.25436,0.85008,0.0014456,0.0014456,0.0014456
16,404.556,0.4814,0.30794,0.90097,0.99965,1,0.995,0.94863,0.38064,0.2309,0.8464,0.001406,0.001406,0.001406
17,428.335,0.45437,0.28858,0.89445,0.99961,1,0.995,0.94873,0.42895,0.24539,0.89767,0.0013664,0.0013664,0.0013664
18,452.264,0.45995,0.28661,0.88777,0.99964,1,0.995,0.97301,0.3215,0.22159,0.81954,0.0013268,0.0013268,0.0013268
19,476.321,0.42727,0.27429,0.87262,0.99964,1,0.995,0.94427,0.31768,0.20217,0.82637,0.0012872,0.0012872,0.0012872
20,500.105,0.42101,0.27058,0.87782,0.99964,1,0.995,0.96543,0.34747,0.20077,0.83779,0.0012476,0.0012476,0.0012476
21,523.999,0.40352,0.26147,0.87521,0.99964,1,0.995,0.97801,0.25941,0.1685,0.79622,0.001208,0.001208,0.001208
