epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6768,1.23012,2.89125,1.33001,0.98118,1,0.99336,0.59412,1.40601,1.29006,1.579,0.000658228,0.000658228,0.000658228
2,63.7158,0.90215,0.63155,1.11422,0.88084,0.64968,0.71046,0.48911,1.75913,1.67166,1.84825,0.00130303,0.00130303,0.00130303
3,88.8537,0.83753,0.52918,1.08494,0.31405,0.96815,0.63822,0.32938,1.69544,2.84076,1.66299,0.00192584,0.00192584,0.00192584
4,114.098,0.81821,0.5095,1.067,0.99912,1,0.995,0.82574,0.76494,0.54534,1.08047,0.001901,0.001901,0.001901
5,139.525,0.79443,0.49723,1.05379,0.99645,1,0.995,0.75692,0.76654,0.68104,1.14657,0.001868,0.001868,0.001868
6,164.691,0.70346,0.4393,0.99517,0.99959,1,0.995,0.84054,0.71028,0.3863,1.03124,0.001835,0.001835,0.001835
7,191.043,0.63843,0.40178,0.9649,0.99947,1,0.995,0.91794,0.55356,0.30527,0.92871,0.001802,0.001802,0.001802
8,221.793,0.60931,0.39266,0.95488,0.99937,1,0.995,0.87845,0.51761,0.35635,0.90117,0.001769,0.001769,0.001769
9,248.579,0.55555,0.36372,0.93576,0.99892,1,0.995,0.92739,0.4035,0.27624,0.86983,0.001736,0.001736,0.001736
10,275.041,0.53662,0.34816,0.92575,0.99963,1,0.995,0.93545,0.37881,0.25928,0.84172,0.001703,0.001703,0.001703
11,301.156,0.53323,0.34743,0.92896,0.99963,1,0.995,0.93573,0.41255,0.26384,0.87311,0.00167,0.00167,0.00167
12,327.177,0.51682,0.32943,0.91626,0.99963,1,0.995,0.94255,0.35343,0.22809,0.8375,0.001637,0.001637,0.001637
13,353.987,0.48776,0.31647,0.90254,0.99943,1,0.995,0.96323,0.30526,0.23198,0.82333,0.001604,0.001604,0.001604
14,380.66,0.49812,0.31436,0.90837,0.99961,1,0.995,0.97163,0.33418,0.22858,0.83111,0.001571,0.001571,0.001571
15,407.672,0.46294,0.30068,0.8923,0.99946,1,0.995,0.9566,0.31191,0.2281,0.81404,0.001538,0.001538,0.001538
16,434.59,0.45154,0.28889,0.88658,0.99963,1,0.995,0.95975,0.33677,0.2143,0.82166,0.001505,0.001505,0.001505
17,461.058,0.44414,0.27958,0.89106,0.99963,1,0.995,0.96561,0.29663,0.2117,0.81626,0.001472,0.001472,0.001472
18,487.288,0.45219,0.28342,0.88806,0.99963,1,0.995,0.95133,0.35348,0.22411,0.8382,0.001439,0.001439,0.001439
19,514.001,0.41887,0.26814,0.86863,0.99961,1,0.995,0.95669,0.30876,0.21438,0.81953,0.001406,0.001406,0.001406
20,540.534,0.40875,0.26615,0.87455,0.99927,1,0.995,0.94823,0.31384,0.20215,0.81851,0.001373,0.001373,0.001373
21,566.769,0.41884,0.2677,0.88128,0.99961,1,0.995,0.96553,0.32682,0.2241,0.81318,0.00134,0.00134,0.00134
22,593.116,0.40784,0.26131,0.86854,0.99965,1,0.995,0.9564,0.33757,0.19356,0.82832,0.001307,0.001307,0.001307
23,620.338,0.38421,0.25462,0.86203,0.99962,1,0.995,0.96067,0.30601,0.17627,0.81766,0.001274,0.001274,0.001274
24,647.745,0.38191,0.24698,0.86654,0.99963,1,0.995,0.96898,0.26077,0.20375,0.79629,0.001241,0.001241,0.001241
25,674.539,0.36933,0.23876,0.85489,0.99964,1,0.995,0.98202,0.27186,0.17534,0.8072,0.001208,0.001208,0.001208
26,701.586,0.36638,0.2365,0.86495,0.99964,1,0.995,0.96339,0.2567,0.19271,0.80092,0.001175,0.001175,0.001175
27,728.289,0.36283,0.23553,0.85779,0.99965,1,0.995,0.97913,0.24621,0.16539,0.79555,0.001142,0.001142,0.001142
28,755.614,0.35232,0.22969,0.84861,0.99964,1,0.995,0.98753,0.2036,0.16181,0.77621,0.001109,0.001109,0.001109
29,782.912,0.35445,0.23376,0.85157,0.99959,1,0.995,0.98235,0.21038,0.15586,0.7731,0.001076,0.001076,0.001076
30,809.717,0.34441,0.22523,0.84936,0.99964,1,0.995,0.98589,0.24898,0.17416,0.79243,0.001043,0.001043,0.001043
31,837.402,0.33126,0.22027,0.84367,0.99964,1,0.995,0.98496,0.22861,0.1614,0.78578,0.00101,0.00101,0.00101
32,869.572,0.33164,0.22278,0.84346,0.99964,1,0.995,0.983,0.23317,0.15799,0.78003,0.000977,0.000977,0.000977
33,897.661,0.3398,0.22121,0.84418,0.99965,1,0.995,0.99154,0.22296,0.15655,0.77944,0.000944,0.000944,0.000944
34,926.37,0.32744,0.21169,0.84344,0.99964,1,0.995,0.9887,0.19704,0.15672,0.77192,0.000911,0.000911,0.000911
35,957.24,0.317,0.20507,0.84037,0.99963,1,0.995,0.99004,0.20654,0.14066,0.77101,0.000878,0.000878,0.000878
36,984.127,0.31066,0.20633,0.83758,0.99965,1,0.995,0.98703,0.21552,0.14557,0.77036,0.000845,0.000845,0.000845
37,1011,0.29586,0.19949,0.83884,0.99964,1,0.995,0.99057,0.20369,0.14271,0.7713,0.000812,0.000812,0.000812
38,1037.68,0.29284,0.19869,0.83254,0.99963,1,0.995,0.98699,0.21465,0.14259,0.77609,0.000779,0.000779,0.000779
39,1064.44,0.29339,0.19934,0.82796,0.99965,1,0.995,0.98963,0.19821,0.13689,0.77407,0.000746,0.000746,0.000746
40,1093.83,0.27665,0.18915,0.83166,0.99965,1,0.995,0.98255,0.19261,0.12912,0.7663,0.000713,0.000713,0.000713
41,1127.53,0.28095,0.19175,0.82397,0.99966,1,0.995,0.99305,0.17538,0.12751,0.76108,0.00068,0.00068,0.00068
42,1155.06,0.27959,0.184,0.82541,0.99965,1,0.995,0.98946,0.21463,0.12925,0.77064,0.000647,0.000647,0.000647
43,1183.56,0.27457,0.18991,0.83069,0.99961,1,0.995,0.99063,0.16038,0.12293,0.75919,0.000614,0.000614,0.000614
44,1213.84,0.26904,0.18468,0.82382,0.99965,1,0.995,0.98726,0.15787,0.12944,0.75818,0.000581,0.000581,0.000581
45,1245.05,0.25249,0.17746,0.81913,0.99955,1,0.995,0.99065,0.15471,0.12293,0.76038,0.000548,0.000548,0.000548
46,1275.27,0.25768,0.17653,0.81957,0.99965,1,0.995,0.98683,0.18121,0.13285,0.76121,0.000515,0.000515,0.000515
47,1310.86,0.25353,0.17601,0.8261,0.99958,1,0.995,0.99386,0.13845,0.11684,0.75459,0.000482,0.000482,0.000482
48,1341.71,0.24563,0.171,0.81772,0.99963,1,0.995,0.99386,0.16251,0.12647,0.75861,0.000449,0.000449,0.000449
49,1368.82,0.24528,0.17084,0.81536,0.99966,1,0.995,0.99139,0.13676,0.10865,0.75218,0.000416,0.000416,0.000416
50,1398.09,0.239,0.16414,0.81848,0.99965,1,0.995,0.99397,0.13653,0.10752,0.75354,0.000383,0.000383,0.000383
51,1484.12,0.18806,0.13967,0.79487,1,1,0.995,0.99457,0.14667,0.10965,0.75372,0.00035,0.00035,0.00035
52,1510.38,0.18434,0.13553,0.79017,1,1,0.995,0.9926,0.15967,0.12711,0.75607,0.000317,0.000317,0.000317
53,1536.93,0.1804,0.13305,0.78231,1,1,0.995,0.99316,0.13094,0.10162,0.75007,0.000284,0.000284,0.000284
54,1562.8,0.17526,0.13086,0.79071,1,1,0.995,0.99452,0.13838,0.10153,0.75344,0.000251,0.000251,0.000251
55,1588.76,0.16258,0.12506,0.78598,1,1,0.995,0.9939,0.1416,0.11099,0.74944,0.000218,0.000218,0.000218
56,1614.7,0.16555,0.12557,0.78764,1,1,0.995,0.99436,0.14735,0.12753,0.75267,0.000185,0.000185,0.000185
57,1640.33,0.16589,0.12361,0.77926,1,1,0.995,0.99494,0.11816,0.0929,0.74715,0.000152,0.000152,0.000152
58,1666.23,0.15161,0.11665,0.77796,1,1,0.995,0.99446,0.12266,0.0958,0.74869,0.000119,0.000119,0.000119
59,1692.02,0.14853,0.11503,0.7774,1,1,0.995,0.99416,0.11547,0.0936,0.74691,8.6e-05,8.6e-05,8.6e-05
60,1717.74,0.14606,0.11247,0.7742,1,1,0.995,0.9949,0.1204,0.09533,0.7472,5.3e-05,5.3e-05,5.3e-05
